runID,Model Form,Antigenic Seniority,Cross Reactivity,Priming,Typed exposures,Waning,Titre dependent boosting,BIC,WAIC,Minimum ESS Parameter,Minimum ESS Value,Max Gelman PSRF Parameter,Max Gelman PSRF,Gelman MPSRF,δWAIC,δBIC
49,Competitive,Present,Universal,Present,6 types,Monophasic,Present,1077.2899125309,1083.1895864452,ρ2,14754.8882350884,β,1.0063207907,1.0010610979,170.8544912877,59.4182276044
31,Competitive,Absent,Universal,Present,3 types,Biphasic,Absent,1088.1116682365,1089.6399531967,dp1,6316.3478858518,μ1,1.0039387182,1.0013547673,177.3048580392,70.23998331
59,Competitive,Present,Universal,Present,3 types,Monophasic,Absent,1078.5677350869,1090.2709301812,c,65635.9944481948,β,1.0005509684,1.0002491983,177.9358350237,60.6960501604
32,Competitive,Absent,Type specific,Present,3 types,Biphasic,Absent,1082.9269003983,1102.569511664,μ1,6261.7171343898,σ,1.0222727743,1.0024034188,190.2344165065,65.0552154718
19,Competitive,Absent,Universal,Present,3 types,Monophasic,Present,1096.3257899544,1113.4517994424,β,17744.3387673966,β,1.0016211192,1.0004828436,201.1167042849,78.4541050279
23,Competitive,Absent,Universal,Present,3 types,Biphasic,Present,1091.0364469565,1118.4986360587,μ1,1865.6097302785,μ1,1.0417315024,1.0083934215,206.1635409012,73.16476203
20,Competitive,Absent,Type specific,Present,3 types,Monophasic,Present,1087.5102801224,1121.3341185893,y_limit,22227.0245947438,β,1.0055026311,1.0004882019,208.9990234318,69.6385951959
60,Competitive,Present,Type specific,Present,3 types,Monophasic,Absent,1085.2718709112,1122.6419200427,β,49232.9291897741,β,1.0011783413,1.0003473339,210.3068248852,67.4001859847
123,Isolated,Present,Universal,Present,3 types,Monophasic,Absent,1080.0380805645,1132.4359907195,c,49375.2118069347,m2,1.0002694445,1.0003070566,220.100895562,62.166395638
17,Competitive,Absent,Universal,Present,6 types,Monophasic,Present,1088.5807186894,1143.0124458267,β,5099.1963471176,m3,1.0028136378,1.0009461389,230.6773506692,70.7090337629
57,Competitive,Present,Universal,Present,6 types,Monophasic,Absent,1074.5410592548,1143.3029383481,μ1,6610.9721197472,μ1,1.0029038864,1.0012198205,230.9678431906,56.6693743283
5,Competitive,Absent,Universal,Absent,6 types,Biphasic,Present,1240.7435518058,1145.3926591432,μ5,1069.9818172597,m5,1.1364913232,1.0148177129,233.0575639857,222.8718668793
124,Isolated,Present,Type specific,Present,3 types,Monophasic,Absent,1078.4642839905,1152.777545789,c,47098.1656867133,σ,1.0045423537,1.0003541531,240.4424506315,60.592599064
